,titulo,clasificacion,duracion,genero,año,tipo_de_audio,sinopsis
98,Crepúsculo online,SAM13,121 MIN,"DRAMA, FANTASÍA",2008,SONIDO ENVOLVENTE 5.1,"Una adolescente con problemas se muda con su padre a un pequeño pueblo aislado. Ella se enamora de un misterioso solitario con un secreto impactante, ¿podría tener algo que ver con los asesinatos"
99,Cartas a Julieta online,ATP,105 MIN,"COMEDIA, DRAMA",2010,SONIDO ENVOLVENTE 5.1,"Mientras está de vacaciones en Verona, Sophie se encuentra con una ""carta a Julieta"" y se embarca en una misión para encontrar a su autor."
100,Pandillas de Nueva York online,SAM16,166 MIN,"CRIMEN, DRAMA",2002,SONIDO ENVOLVENTE 5.1,"Tras años de encarcelamiento, el joven inmigrante irlandés Amsterdam Vallon (Leonardo DiCaprio) regresa, buscando venganza contra el líder de la pandilla rival que asesinó a su padre, William Cutting"
101,Baile caliente online,SAM13,100 MIN,"DANZA, DRAMA",1987,ESTÉREO,"En 1963, Baby, de 17 años está de vacaciones con su familia en un centro turístico de la montaña cuando se siente atraída a los cuarteles del personal y su agitada música. Allí conoce a Johnny y se"
102,El traidor online,SAM13,114 MIN,"ACCIÓN, CRIMEN",2008,ESTÉREO,"Cuando el honesto agente del FBI, Roy Clayton (Guy Pearce de MEMENTO) encabeza la investigación de una peligrosa conspiración internacional, todas las pistas apuntan al exoficial de Operaciones"
103,Si Solo Pudiera Imaginar online,ATP,110 MIN,"DRAMA, FAMILIAR",2018,SONIDO ENVOLVENTE 5.1,"Bart Millard es el líder de la banda cristiana MercyMe, que pierde a su padre por un cáncer. Este trágico suceso le inspira a escribir una canción que tiene gran éxito llamada I Can Only Imagine y en"
104,Mamma Mia! online,ATP,108 MIN,"MUSICAL, COMEDIA",2008,SONIDO ENVOLVENTE 5.1,"Donna, una madre independiente y soltera, dueña de un pequeño hotel en una idílica isla griega, está a punto de dejar que se marche Sophie, la hija a la que ha criado sola."
105,Belly online,SAM16,95 MIN,"CRIMEN, DRAMA",1998,ESTÉREO,Dos mafiosos tienen una epifanía.
106,La última puerta online,SAM16,133 MIN,"SOBRENATURAL, ACCIÓN",1999,ESTÉREO,Johnny Depp es contratado por un fiel satánico que se hace pasar por un erudito de la demonología para localizar dos escasos volúmenes de una invocación satánica.
107,Traficantes por error online,SAM16,84 MIN,"ACCIÓN, COMEDIA",2009,ESTÉREO,"Donald Faison protagoniza como un repartidor desafortunado que se encuentra en el centro de un negocio de drogas que salió horriblemente mal en Traficantes por Error, una comedia de acción estruendosa"
108,Dulce venganza online,SAM16,108 MIN,"DE TERROR, MISTERIO/SUSPENSO",2010,ESTÉREO,"Este remake del clásico de 1978 del mismo nombre, cuenta la historia de una mujer que es brutalmente violada y asaltada por cuatro hombres, sobrevive, y toma la ley en sus propias manos buscando"
109,Retornados online,SAM16,98 MIN,"DE TERROR, MISTERIO/SUSPENSO",2014,SONIDO ENVOLVENTE 5.1,"Un virus zombi ha infectado a la humanidad, pero se puede curar con inyecciones diarias. Así que el caos surge cuando se sabe que quedan pocos suministros de inyecciones."
